category,name,skipper_last_name,skipper_first_name,nationality,url_link
Class 40,HappyVore - Café Joyeux,D'Estais,Nico,France,https://www.routedurhum.com/fr/skipper/138
IMOCA,FREELANCE.COM,Soudée,Guirec,France,https://www.routedurhum.com/fr/skipper/10
Class 40,HBF - Reforest'Action,De Pavant,Kito,France,https://www.routedurhum.com/fr/skipper/44
IMOCA,Gentoo,Harayda,James,Royaume-Uni,https://www.routedurhum.com/fr/skipper/205
Class 40,IBSA,Bona,Alberto,Italie,https://www.routedurhum.com/fr/skipper/80
Class 40,IN FLUENCE,Fornaro,Andrea,Italie,https://www.routedurhum.com/fr/skipper/119
Class 40,Inter Invest,Perraut,Matthieu,France,https://www.routedurhum.com/fr/skipper/62
Rhum Mono,Notre Méditerranée - Ville de Nice,Dick,Jean-Pierre,France,https://www.routedurhum.com/fr/skipper/114
Rhum Mono,JSB Déménagements,Biard,Jean-Sébastien,France,https://www.routedurhum.com/fr/skipper/89
IMOCA,Oliver Heer Ocean Racing,Heer,Oliver,Suisse,https://www.routedurhum.com/fr/skipper/90
IMOCA,GROUPE APICIL,Seguin,Damien,France,https://www.routedurhum.com/fr/skipper/52
Class 40,Kite,Leonard,Greg,Etats-Unis,https://www.routedurhum.com/fr/skipper/133
Class 40,La Boulangère Bio,Grassi,Amélie,France,https://www.routedurhum.com/fr/skipper/126
Rhum Mono,Fédération du Commerce du Pays de Saint-Malo,Reemers,Julien,France,https://www.routedurhum.com/fr/skipper/59
Class 40,Caisses Réunionnaises Complémentaires,Jost,Victor,France,https://www.routedurhum.com/fr/skipper/139
IMOCA,Groupe SETIN,Cousin,Manuel,France,https://www.routedurhum.com/fr/skipper/100
Class 40,Lamotte - Module Création,Berry,Luke,France,https://www.routedurhum.com/fr/skipper/36
Class 40,Legallais,Casenave-Péré,Pierre,France,https://www.routedurhum.com/fr/skipper/247
IMOCA,Guyot environnement - Water Family,Dutreux,Benjamin,France,https://www.routedurhum.com/fr/skipper/101
Rhum Mono,Léa,Laumet,André,France,https://www.routedurhum.com/fr/skipper/210
Class 40,Dékuple,Mathelin-Moreaux,William,France,https://www.routedurhum.com/fr/skipper/141
Rhum Multi,HAPPY,Etheimer,Laurent,France,https://www.routedurhum.com/fr/skipper/299
Rhum Multi,LODIGROUP,Escoffier,Loïc,France,https://www.routedurhum.com/fr/skipper/83
IMOCA,Hublot,Roura,Alan,Suisse,https://www.routedurhum.com/fr/skipper/14
IMOCA,Imagine,Colman,Conrad,Nouvelle-Zélande,https://www.routedurhum.com/fr/skipper/108
Class 40,Nestenn - Entrepreneurs pour la Planète,Bonnier,Jules,France,https://www.routedurhum.com/fr/skipper/53
IMOCA,INITIATIVES CŒUR,Davies,Sam,Royaume-Uni,https://www.routedurhum.com/fr/skipper/33
Rhum Multi,METAROM MG5,Guillemot,Marc,France,https://www.routedurhum.com/fr/skipper/64
Class 40,Paprec Arkéa,Richomme,Yoann,France,https://www.routedurhum.com/fr/skipper/140
Class 40,Polka Dot,Mehran,Alex,France,https://www.routedurhum.com/fr/skipper/41
Class 40,Prendre la mer Agir pour la Forêt,Claveau,Mathieu,France,https://www.routedurhum.com/fr/skipper/40
Class 40,Prisme,Rossi,Romain,France,https://www.routedurhum.com/fr/skipper/57
Class 40,Projet Rescue Ocean,Tréhin,Axel,France,https://www.routedurhum.com/fr/skipper/6
Class 40,QUEGUINER - INNOVEO,Douguet,Corentin,France,https://www.routedurhum.com/fr/skipper/18
IMOCA,Kattan,Lacaze,Pierre,France,https://www.routedurhum.com/fr/skipper/124
Class 40,RANDSTAD-AUSY,Louchart,Martin,France,https://www.routedurhum.com/fr/skipper/50
Class 40,Recycleurs Bretons,Le Borgne,Kieran,France,https://www.routedurhum.com/fr/skipper/69
Class 40,Redman,Carpentier,Antoine,France,https://www.routedurhum.com/fr/skipper/12
IMOCA,La Mie Câline,Boissières,Arnaud,France,https://www.routedurhum.com/fr/skipper/4
IMOCA,LAZARE,Le Turquais,Tanguy,France,https://www.routedurhum.com/fr/skipper/97
IMOCA,LinkedOut,Ruyant,Thomas,France,https://www.routedurhum.com/fr/skipper/11
Rhum Mono,Elora,Nemsguern,Olivier,France,https://www.routedurhum.com/fr/skipper/120
Rhum Multi,RAYON VERT,Nataf,Oren,Israël,https://www.routedurhum.com/fr/skipper/71
IMOCA,MACSF,Joschke,Isabelle,France,https://www.routedurhum.com/fr/skipper/9
Rhum Multi,Flo,Poupon,Philippe,France,https://www.routedurhum.com/fr/skipper/285
Class 40,Rennes / Saint-Malo / Mer Entreprendre,Hulin,Baptiste,France,https://www.routedurhum.com/fr/skipper/136
IMOCA,Maître CoQ V,Bestaven,Yannick,France,https://www.routedurhum.com/fr/skipper/29
Class 40,CURIUM life forward,Lepesqueux,Marc,France,https://www.routedurhum.com/fr/skipper/56
IMOCA,Malizia - Seaexplorer,Herrmann,Boris,Allemagne,https://www.routedurhum.com/fr/skipper/28
Ocean Fifty,ARKEMA,Vlamynck,Quentin,France,https://www.routedurhum.com/fr/skipper/75
Rhum Mono,FAIAOAHE,Gerin,Rémy,France,https://www.routedurhum.com/fr/skipper/85
IMOCA,Medallia,Hare,Pipe,Royaume-Uni,https://www.routedurhum.com/fr/skipper/42
Rhum Multi,We Explore,Jourdain,Roland,France,https://www.routedurhum.com/fr/skipper/20
IMOCA,Nexans - Art & Fenêtres,Amédéo,Fabrice,France,https://www.routedurhum.com/fr/skipper/22
Ultim,Use It Again! by Extia,Pilliard,Romain,France,https://www.routedurhum.com/fr/skipper/35
Class 40,SERENIS Consulting,Galfione,Jean,France,https://www.routedurhum.com/fr/skipper/32
Class 40,SOGESTRAN - SEAFRIGO,Château,Cédric,France,https://www.routedurhum.com/fr/skipper/60
IMOCA,Holcim - PRB,Escoffier,Kevin,France,https://www.routedurhum.com/fr/skipper/19
Ocean Fifty,LEYTON,Goodchild,Sam,Royaume-Uni,https://www.routedurhum.com/fr/skipper/110
IMOCA,PRYSMIAN GROUP,Pedote,Giancarlo,Italie,https://www.routedurhum.com/fr/skipper/23
